,Unnamed: 0,filename,window,lib,Label
86,210,99e2c9948d982ac6c78a9b8a421d46058eacabe83ddaa1f0a91a3a24c530fc38.png,2003,Die01,GOOD
1522,5920,8037f6a24cf8c627372c0c49ebfaa325348ee784b08e33aac218b86d7cc626c3.png,2005,Die01,GOOD
1484,5605,c7eb808bae9acdc64d196089faa1453544ba28d2d8c74a8f623b368c7aaf5692.png,2003,Die01,GOOD
882,2640,72aaf42a7af4fad6103dee95b2bb381b6fd6c5aa155044bce5ba1902b6938d5f.png,2005,Die04,GOOD
170,428,2c409cab2df2742fae70255b33b0d00912717784d61cd5cc17a9096bc963d876.png,2003,Die02,GOOD
1533,6085,0142db6534c152dba9073a3b76d017cf54d688d9d5e5d9d30c35f4e28cb93efc.png,2005,Die02,GOOD
1652,6478,f2aed354f769c1cd08f5de2b3c9087de52b84b7559720e3a04fd1e159fce88b6.png,2005,Die02,GOOD
1019,2924,441cf34f853b335886ed4dd5eaab82c773c7ec5b43cfbff7be441e5eb566b342.png,2003,Die01,GOOD
966,2805,e14ae07bea2069238779cbee0c4a97a4d0bd998bf29d435f19e7ea0a712c275f.png,2005,Die04,GOOD
1007,2888,1e0174c85db782170d6ecb462002cc6e39ddef39c369c5f49c21654c72a7a21c.png,2003,Die01,Short circuit MOS
718,2128,dd94a42cc3a2b8643644ebc003688bc6e82076f9b47f18ca6a814a1803bc756d.png,2005,Die02,GOOD
1622,6373,bd099cdcc9bfe1c8205d7f6fd34d2cbe2ae25c362862c3790e31ade6970033df.png,2005,Die02,GOOD
839,2556,496978df0c29ff7e8bdc32afc98a0df58e3136729a8f34a7cbe41e3de139feca.png,2005,Die04,GOOD
993,2855,fb7d2c3c5f08ead9b5c5a535c31e42046b734cdf74940aa0e5ebf0aae1697069.png,2005,Die04,GOOD
690,2057,aa4ba6c53c468d0fe6afe5c4e923a11dcd0cee5174c8bc5136cb0f07870603b5.png,2005,Die02,GOOD
2234,2397,d55e81b09422ec29849292b0a38cc31e3afbf75a94586eb1f993ed94a29ce1c0.png,2005,Die03,Missing
2112,6894,4514bd35a5a3eef4f47b030b7f8c40a8e54db8ee55b3db7563fa19228d46f79a.png,2005,Die04,Missing
696,2069,b01f75bb4bc95ba910f33b4a834cea7a8edd917a41fc07fe6b634202b5886407.png,2005,Die02,GOOD
245,682,e0c9cab0872e97cad6d0a1f6ab65a263d7438fa5413c6d0f4b9e2a83b5313111.png,2003,Die02,GOOD
139,341,e6dd40b8aae3709c20a35ff5abdff5251592e9b1073c9827ae3cc00416e44ed5.png,2003,Die01,GOOD
1360,4397,9fad0d8a18fca9db6d3cb3b86451683d546188e3fd677b1b3dfaa865f720232f.png,2005,Die04,Lift-off blanc
1663,6550,2a1b0cda7676da23fa954c2aa25067c76e14a038e4f02e81e6e6e627a2457d40.png,2005,Die03,GOOD
2063,526,6f0e0423c464804ba7d8b4c17376ac754faca0669452a3c8be59fa7799f8a87f.png,2003,Die02,Missing
2111,2316,88fc78544b89cf62bdc10bc432e7c2f2e36efbb5e5670121bab2969a8ffd4aa9.png,2005,Die03,Missing
346,1111,3b10d6a40da6628799603b7943595d530bf5b62b3a4d489a6c28d7d871f2f46e.png,2003,Die04,Lift-off blanc
2032,6133,232743efcbc71998f34a35f4585136c2989c3c666c823537bd6b734336887ea0.png,2005,Die02,Missing
1853,2645,756d3d9fe74e8d8fcc6129b3eaf927a3dc47963625e60e16e04501931f9c8c20.png,2005,Die04,Missing
1674,6752,d014c8748d16e39f9f89de18e84e8b8cf4f894418d53049a302a15cb3c47bff0.png,2005,Die03,Lift-off noir
1661,6541,2409ffa28f5e4ed97ad0948cdbd6eba880276aa0eaa2277f08c05d79e90523dd.png,2005,Die03,GOOD
2155,5945,93022c05f7632b568a1b914eae3c76087407a45e2ebb89aa93f096c02c28451d.png,2005,Die01,Missing
1286,4104,2e308fccd6f24d18cc3a57ab35d7fb14794e55379b8836be96fd33d491620fa4.png,2005,Die03,GOOD
969,2809,e459ea622cea433d65bb6e617dd48146f159e33597ffd00681ff76843d35f6ad.png,2005,Die04,GOOD
1795,8027,10708e26eb414fba65839662c49d75ee8faf5d8c1142a418b9f774cf0bbae8d2.png,2003,Die03,Lift-off noir
1373,4476,4402dcb554d77428e90d45190ee5d31b191a77a16cae990b68d3c50783ff4be1.png,2003,Die02,Lift-off noir
1720,7268,061098694d9a1c62821f6de58d26fb34a1a8fdc1d417ae925c484d21a05d5609.png,2003,Die01,GOOD
2132,7550,492786fcf419c2791bf2c24a63e976f12fb219784f7f4de94637748349da6197.png,2003,Die03,Missing
1403,4642,bd8cf073e85f8c55214fda826ac29bf7abd261df602c47e246470f240890c406.png,2003,Die02,Lift-off noir
1073,3090,efe784e1912dec0dd1642060522f1ebe95bc9ac87151dc460bfbeb81f1d9ef45.png,2003,Die01,Short circuit MOS
875,2629,6e4a8eb8526b8b6a23e11355fbcf1b31c25174cd43e0fac2fa65c27f8f18b3bf.png,2005,Die04,GOOD
1650,6473,f02c9cf7a7934e25903eece1816ca6b24b65c99047ab2298e65cbb7c96e5a92c.png,2005,Die02,GOOD
1215,3764,786931cf567f4d49159eb76a1e0f7bda2acf122bb5492795c95286a7d3174060.png,2005,Die01,GOOD
1189,3651,d7350cb99d51b14fa8a817e03975e8bb262310f38f70364771ac7847cf351bcd.png,2003,Die04,Short circuit MOS
507,1498,28fab072ab21b27df729e393d0226e6c043a6e0569587c2e0a082a174cfbe703.png,2005,Die01,Lift-off blanc
550,1649,996776f079f7335faff428ca840e44d5237d3282955de5a5f52c0c0c5c5a934a.png,2005,Die01,GOOD
2068,4823,4c0a923e48eb8f26e192440d173c06148c2430cd2c0e71ec33d526c1745ed4d3.png,2003,Die03,Missing
2291,2707,a6dfdf5364d4d7274c3c3318f73066feac0d90f556e416a82e84682ee3a83108.png,2005,Die04,Missing
1646,6453,e6fcf577e5f752aa3668efe97de9c116bc6613d65c8b876fb5b225e49da4204c.png,2005,Die02,GOOD
1715,7137,89e220e6b2c565caa92d42ba3fe33958eed4b8fa8215456603249334da456ec7.png,2003,Die02,GOOD
673,2010,88ef65e85b5872c6551347bfe6554349cb7604fc731d6a7a10041825b03d5869.png,2005,Die02,GOOD
2246,537,75ee71ebe6196339c26466800e8484fb18187907a454a8abba55e36930e24a7d.png,2003,Die02,Missing
1124,3342,3d1fbe842a5bea51bd9977c9f59a6d709dd5c1c34af9ac15f12921fb67ec7788.png,2003,Die03,Lift-off noir
1490,5667,fbfa0eb51c285e34fa784e4853b4d4c2e5c2399d7653301cf5c773c5e0083af9.png,2003,Die01,GOOD
1904,6528,1e3a488f776b974ac5bb08e2b695ec22a6e831f982451348546f11cfa5c8c721.png,2005,Die03,Missing
1826,7839,ac7891712d28df4b16124c62c334857e4bb827443e0d33c40cc5520a8c969bff.png,2003,Die01,Missing
1783,7857,ed761af6ff2bfeed059ba2110e39f12205680a03f29e9c2f773f55717692c42c.png,2003,Die01,GOOD
868,2604,60ebae69749172276aac0dcfc5af9c690302799495a03eb68f76b068d9dfd283.png,2005,Die04,GOOD
395,1231,94ce784170394d5c0162b150a1b874a96d5d4c7285384607364bf3a9fd05bd39.png,2003,Die04,Lift-off blanc
165,411,1c74b7d7f811bd72dc65750c03f361dfaedcf95985b325971eba204cf049a88d.png,2003,Die02,Lift-off noir
1606,6327,9fa2a7004012cfa3aee1bc46d1c6801248933ac04d5b858c048b341517a2392d.png,2005,Die02,GOOD
910,2690,9fd42294aae8ec2620893e51269870db99b516d19649c05e0981aee522ee87bf.png,2005,Die04,GOOD
390,1219,83cef2a92be829a3eba1369af9a07d023948b0ea0cb40f24e34136131f85bef7.png,2003,Die04,Lift-off blanc
388,1213,80780934f0ec002b5a89863db4925c952d58371fe80613b42fb9bc89284ea8dc.png,2003,Die04,GOOD
94,232,aa3dbb83e9046c380426c3c17b31663655a1f4baab6d59ad9fa34000a1dc6703.png,2003,Die01,GOOD
397,1234,97fb9761841c3819810036c2481a60fb8e0c8c867709cb8a88c4c7c8dacea626.png,2003,Die04,Lift-off blanc
1555,6154,2fdfa5b0d47e6a9f339f3a34b8fc92fdd0606baab4891b1f5c437e7264266ee4.png,2005,Die02,GOOD
2122,6218,5964ab0dc1f40bd371a60bb335fab1929fc46a6de46059980d3c866bf19e8449.png,2005,Die02,Missing
944,2760,c1af0132cf3f9d27ceab3dcbe73c045708ed35b4fd0088c968596c2dc45e04e1.png,2005,Die04,GOOD
1253,3981,8c54762e630ab731c30f629519d417c81ef1d1d7b04d7c727189eaf730a6c21a.png,2005,Die02,Lift-off blanc
212,577,905c3fc8343cf4d8d1336f997976240da85500a101a234ba0782b282b3cfcaf7.png,2003,Die02,GOOD
878,2634,70af1ce43edcbd2ad0e7378c29b2b3b510b73b561aed0725e75ac7f717317c0d.png,2005,Die04,GOOD
893,2661,81e246b36973eee7050ac98ad21e8f64a4c252826805e093704d5d848637fba0.png,2005,Die04,GOOD
894,2663,83fb57c196bd500f20e339bfd131041f3b1502662aaff3756719e97de5611714.png,2005,Die04,GOOD
695,2066,ae7d6e62fe7afa62934b943dd512e0998801f17488f0f0645598e69c4dfc37ff.png,2005,Die02,GOOD
59,143,6efb3b6d6089b2ab0955bba437b7c8968659493b22642fa99bc1c9bae956fc08.png,2003,Die01,GOOD
404,1251,a18929fe8e3b96ec7dff7201af36aab955492096e4e424313618dddd0eb2c457.png,2003,Die04,GOOD
2283,5097,3be72cd5d32fbd511e958c0c9654802c6dd7a07f2a31bc5f0fa870f93b47fe7d.png,2003,Die04,Missing
956,2783,d2e737c8930d7a01279acd9cde7829b24e98cb913b136cfcaf61507f9a1ce6ee.png,2005,Die04,GOOD
1294,4129,4306d17da1314e3dcef3245635e75776168de71d352a4142e7a85c7d11032132.png,2005,Die03,Short circuit MOS
1342,4296,13e5fba1cd3b88076e0896c4248516626dea0dd204939d9f59c2e73d7e13e4a9.png,2005,Die04,Short circuit MOS
1535,6089,03ad5ea3cd539f88f4024581560e571134872fe689fac93cbe773347a7a2ae9e.png,2005,Die02,GOOD
51,126,61bd58ecd25be822ec8e42cb9fa32eb4edc653c6b0c3f758084f4779f3491b3a.png,2003,Die01,GOOD
1734,7461,98ac1e771414146f7623933b069aecab69f423f972b41ac68e97c9dc1dccc318.png,2003,Die01,GOOD
1957,2346,a6ccec7d86a630a282aef4d9adcf49a334d93d432b8148137b128b9da599b626.png,2005,Die03,Missing
554,1669,aa62f2c18f654d5d2278159560c4f1db2e7ed0bf4ed12d596ba29613fc3aebc8.png,2005,Die01,GOOD
1776,7848,d126fe49ddb37042b74613c326a1f933e9840dff61c8b6a4d47ee17417b78c96.png,2003,Die01,GOOD
1639,6422,d28f949d00bd1a78984e75901f83e8e222b07967d86f3a7118670174b3603af4.png,2005,Die02,GOOD
1633,6408,ce36786819b39d5bd3f0f0075d7c85d0b24106d5ae07580fbaee7c3f158dfce0.png,2005,Die02,GOOD
1358,4389,97efce757b9a9ca6ec6da60a7b016942dca19a852ae7ad0cdc7d2c7720e718c0.png,2005,Die04,GOOD
1789,7935,ed422d0f04dbe0fb7174d51aa606a796b581da3f0f7e4b26873b371215068c7c.png,2005,Die01,GOOD
691,2059,aae2d7c3600017499af1bc7979c6dbef9b1b57540913afc4dad272247bb2df00.png,2005,Die02,GOOD
865,2596,5e1d8248cb1c55a2d0c2491077bbe71a7d742d1114423712103c8270cb1d085b.png,2005,Die04,GOOD
2298,3351,4d5a2ecd99d2090acc9a337a91ccd83e7787f611e07aa81bf1e7e7283899bbea.png,2003,Die03,Missing
1493,5675,01ff11e3e6610576966ef48f88a7c1223a2edd34de87cc311a1cd6e4313b430a.png,2003,Die02,Lift-off blanc
613,1853,266ba28f07f68196e9793716323eaca77e76c65a299e25b9219b5f011b6d9a00.png,2005,Die02,GOOD
267,792,3713a6c64dad2af5e290cf07a6a7d74035e21152a012b1a80b1f58e72020e0d2.png,2003,Die03,GOOD
1144,3434,c2947eb12a745ef9b275bd2c5abd06a2e378d03927639ae976808b1aa734c7f8.png,2003,Die03,Short circuit MOS
1061,3054,c3b8b2dd1b3e4ca1871515c955bffc2fb49e4a050d63f7f79f72f1217527f3ac.png,2003,Die01,GOOD
1615,6356,b18f376eca648556005bb197ce9057ae913632a5c10ee7f08f731836a72610d9.png,2005,Die02,GOOD
2251,5429,3f4c87bf9fc3f7c56a8ec97398107ed43ba4f6b612c6def465cc243d496b87f5.png,2003,Die01,Missing
1464,5356,09455e1bed5fde58f4224957368f61e59677b4baa1924ffa16e5cd72ad60096f.png,2003,Die01,GOOD
1648,6462,e920eb1bef8b07f724c3a08068e131eb7f53364766afdd1319fad08d63fd5b78.png,2005,Die02,GOOD
1815,3854,ef90ef523fff4fb7f81cba15d12e0f93dec76dc45b8fa91ef3d848a9d7be8cec.png,2005,Die01,Missing
2100,6698,9f1bf2f8cebc3de8e400080881ae3659a78a5d705a42232d9e5b157181770c73.png,2005,Die03,Missing
887,2650,7ac2ef1d09b90b78d55899f8eb4ac3961fb61d54f8c20e82017cebcb19f5cde0.png,2005,Die04,GOOD
235,654,cb70e67cb08ccf6e41764cb8d5b33d286f4f020504abfb946876b0f08156f4bf.png,2003,Die02,Lift-off blanc
899,2672,8ca49fd9f43d0c82cd465b9b1d299c1448dbd466d296eab07b24b38adc6e4595.png,2005,Die04,GOOD
1388,4550,78c89cbc50b9a72c19b8368dac55962e815c55387d90a301db15656f0b0d6f39.png,2003,Die02,GOOD
1928,762,1fb8d1a021ad5f52a3a5ef9c31b2d970fcfccde1f3c5da40f7320e1875b7a9d4.png,2003,Die03,Missing
362,1150,563739f1c789f0daf59ab7b092b461710011536850b46f3e87d07c1301e94178.png,2003,Die04,Lift-off blanc
594,1799,0003d3829d9f6601d6589ab3269a3506a6db1398f3da181793d51a44655586e9.png,2005,Die02,GOOD
1359,4392,9a4b480eb8c9e7e1b4f77059fad90af3574cbdf5f57d0e05bc07c5a355254900.png,2005,Die04,Short circuit MOS
1285,4100,27b70e11e18f4e18072dfee4c1f90a421d49cd13de7a02cdf3955f8f299bd66d.png,2005,Die03,Short circuit MOS
1751,7808,3c4423f464721a4cd4720c10a71a55ce9f6778986aa23bc666d9b1ad7abafc09.png,2003,Die01,GOOD
1691,6860,2191fb4fffc121883d06bca492d50f2ab0c9f21ade4137a53709f3ca9c99ec76.png,2005,Die04,GOOD
2036,3448,d2be2ea82526107d1de5f38b5aec8b8c58dd35fbfd1f2758494a7fca00aabf87.png,2003,Die03,Missing
1376,4486,4902fdc2ae62c2fb16ec4920f2888a3ee7718b00b9c617f5ab02ce686db30a04.png,2003,Die02,GOOD
625,1883,398381b98aae08c03deea6d0ff4350c571287fa2d20caaf1dd78fa15151f212f.png,2005,Die02,GOOD
872,2623,6a6ab1a1f8e2381183b69c85859299b1fc3fadbfcc5ffe3951395be6cdc0adac.png,2005,Die04,GOOD
748,2207,0ba3e302fcc8dec0db3fa479bd3b7bc2257c3226da204b800f1b7db61927e791.png,2005,Die03,GOOD
793,2476,117cdacbd81c46d2221a47304f28639a37c88ad936155069c28ef905cfb9b398.png,2005,Die04,GOOD
915,2699,a375dfccf0aa9d7d4083a1b7ad86b18d2f6eca73b25a29326107d026e481931f.png,2005,Die04,GOOD
16,40,2d1309c51dca7b856ac83506d72369e79a843f3ac225ee4bce39eb2f59125584.png,2003,Die01,GOOD
1317,4204,9b426e3ef6650f2b97472b37e1ce8c5cade841172359e27e8baeb03f75903c74.png,2005,Die03,Lift-off noir
1031,2950,55d6a88ec76bf058ee8d66b81a7b71bb7aeaae66bd749a8e78eae28a692d29fb.png,2003,Die01,GOOD
2244,7771,552636ea7c20455d5009998852bc3b737a762cd2b899e6f23e3d84a7774ba94d.png,2005,Die04,Missing
472,1396,0488593952e246274a5152d4784957ecc1e7d85fae485e4d2a05955cec092295.png,2003,Die01,GOOD
1236,3905,2fdaca94956f21e37bbfeb6987dc967118ad860f4517af661f3da3f8d4bbb989.png,2005,Die02,GOOD
650,1955,66531d05dde52eea14b86e264487ec55ca524224dfdaa8db211c5a2d93911ef1.png,2005,Die02,GOOD
1004,2878,1333822949b72feaef23ec0352bb26d790467931e51073d75dbb0b6b500067f7.png,2003,Die01,Short circuit MOS
1145,3440,cab7bf25837d2bf55edae3f74e74080bd752ce165e18a7884713b525e640e1ef.png,2003,Die03,Short circuit MOS
2039,4708,efb4fa0bb55101aac7be4cbdb4cef0a6c58616a660e4a13fed3523416049fc84.png,2003,Die02,Missing
2290,3652,d9ce9d5292e42c2ad352f97a1d5d6d6b003f7cbc1fd27b1671c078c73e6aec5a.png,2003,Die04,Missing
1538,6107,0eef4be8afa51ea48540e974b677839517e470fa079c95cf5a142f06b8ac4b87.png,2005,Die02,GOOD
1027,2942,4f7d3823e3307830a49081e0216dabe274a052d3c5dd15f32190f399e2275876.png,2003,Die01,Short circuit MOS
409,1257,a3b8ee26e09c9b8337bd1089bccc201b4aad49cc76b4c39e11b719de3577c017.png,2003,Die04,GOOD
2202,5791,20cccfd23ac3f675958aa928fb34396de7d36f1a3ab9f873d7267195959964b7.png,2005,Die01,Missing
220,609,a087c4993952aaa27172778ed0652bce5d8cf40af389daebb7810d06e4ef24fd.png,2003,Die02,GOOD
836,2552,48b270126003e63f2d073fc4749ba0233a46deb4ee2085d1f2d9c5027e9bde1e.png,2005,Die04,GOOD
662,1985,7aba773c539dd15934dc916268a697645b7a03f074113d5a387efb554df0731f.png,2005,Die02,GOOD
1556,6155,309f749b2debb0b1dd0ca4848336502f13dd1c61dbc3fab959a597e138070364.png,2005,Die02,GOOD
38,85,4aaf75641535c8abfa5eb0826e176dd98df05c364a951268a5ee9bcbf03ec79f.png,2003,Die01,GOOD
1996,3172,5fb8d5de37b7b1326dab7bbe86af8fbe38da5984c69933bfbfd1fcfc906e2aa7.png,2003,Die02,Missing
1989,4046,da44b9c683c78b61231e36021a9ec3aa28ec514674a9b05736c9964f92a4de0e.png,2005,Die02,Missing
2147,4293,105da4615c9e35d74e820365593ee940b3e68e9c0f69397535631bed9b78e197.png,2005,Die04,Missing
1365,4430,d8724de1d215b572f3a46f12c96b016d6febaa9027d0176750b009694ffc7339.png,2005,Die04,Lift-off blanc
2010,5854,50ae5025e7386e6234d1a52a4fee77daa49e28c8a8905530cd1ea1481cba5470.png,2005,Die01,Missing
741,2176,f890cc8dd64f76f863f0b42082641aaf89e94cdafd6b705023b6cdf3b7a725e5.png,2005,Die02,GOOD
